Question,Confirmation,Factoid,List,Causal,Hypothetical,Complex
When did Tito create the Second Proletarian Brigade?,0,1,0,0,0,0
Who discovered non-radio uses for early LED devices?,0,1,0,0,0,0
What dynasty ruled Germany starting in 1024?,0,1,0,0,0,0
Sufficient domestic renewable resources exist for what reason?,0,0,0,1,0,0
What did astronomers during this area believe to be the center of the universe?,0,1,0,0,0,0
Who commanded the Prussian 12 Cavalry Brigade?,0,1,0,0,0,0
Who used the figure of the tragic octoroon?,0,1,0,0,0,0
When was Suez canal completed?,0,1,0,0,0,0
What is the third fastest growing economy in India?,0,1,0,0,0,0
What percentage of students at Qur'anic schools are female?,0,1,0,0,0,0
What must the offence do within 10 yards or forfeit the ball?,0,1,0,0,0,0
What can help over come the problems with the market?,0,1,0,0,0,0
What agreement did foreign investors sign in 2006?,0,1,0,0,0,0
By what year does Dell plan to put chemicals in its computers?,0,1,0,0,0,0
How do translators obfuscate context?,0,1,0,0,0,0
What type of degree was given out at the University of Bolonga?,0,1,0,0,0,0
Pomors are also known as what?,0,1,0,0,0,0
How is adolescence defined socially?,0,1,0,0,0,0
What was obsidian used to make in prehistoric times?,0,1,0,0,0,0
When was the Palacio Taranco erected?,0,1,0,0,0,0
Who was born in 1948 at the Frei Monalva Station?,0,1,0,0,0,0
What is the given name of a offspring from two different animals?,0,1,0,0,0,0
Arnold J Toynbee believed what?,0,1,0,1,0,0
Which of Popper's works criticized the idea that history has an inexorable developmental path?,0,1,0,1,0,0
Who has held the office of Vice President of Tajikistan since 1994?,0,1,0,0,0,0
What is the Planck constant incorrectly known as?,0,1,0,0,0,0
Whose reign was marked by the acceleration of military expansion?,0,1,0,1,0,0
What type of naval ships did the South and North Koreans have?,0,1,0,0,0,0
Countries with more than one supreme court may divide their primacy by what factors?,0,1,0,0,0,0
In what century was a differentiation made to clear up confusion about West Germanic languages?,0,1,0,0,0,0
What is composed of two rotations?,0,1,0,0,0,0
By what means did Davis leave Richmond?,0,1,0,0,0,0
Who was Burke's secretary?,0,1,0,0,0,0
What is called the third stage of growth of bacteria?,0,1,0,0,0,0
What year did New Haven finally integrate bike lanes to most of the city?,0,1,0,0,0,0
How successful was RCA Victor's program-transcription discs?,0,1,0,0,0,0
What is SmartZone's email called?,0,1,0,0,0,0
How many years after To Kill a Mockingbird is the setting of Go Set A Watchman?,0,1,0,0,0,0
What did Burke call corporate tyranny in India?,0,1,0,1,0,0
What is not required?,0,1,0,0,0,0
When did Kant publish one of the most influential works in the history of the philosophy of space and time?,0,1,0,0,0,0
NICE decides the availability of drugs in which two countries?,0,1,0,0,0,0
What does the seamount form?,0,1,0,0,0,0
Who manned the Cubs radio and TV booth for parts of five decades?,0,1,0,0,0,0
In what year were there 4470 priests in the Dominican Order?,0,1,0,0,0,0
What do Type-A receptacles do on host devices?,0,1,0,0,0,0
When did EMI create the first stereo discs?,0,1,0,1,0,0
What is the government of India based on?,0,1,0,0,0,0
What caused a need for more industry?,0,1,0,1,0,0
What year did season 12 of American Idol first air?,0,1,0,0,0,0
When did comic book sales begin to decline?,0,1,0,1,0,0
Who make the Turks retreat back to Batum?,0,1,0,0,0,0
What did George Berkeley found?,0,1,0,0,0,0
Besides Chelsea City Island and Venice Park what other community locality or place name is included in the city?,0,0,1,0,0,0
What did not develop in Eurasia?,0,1,0,0,0,0
In theory how were all polish noblemen viewed?,0,1,0,0,0,0
Where did Irenaeus and Eusebius of Caesarea live?,0,1,0,0,0,0
Who argued that Bonaparte's admiration for Muhammad was sincere?,0,1,0,0,0,0
How early did people in the Muslim World start using watermills?,0,1,0,0,0,0
Since when have Indigenous Australians been referred to as black?,0,1,0,0,0,0
What's the approximate relative dielectric constant of most materials in circuit boards?,0,1,0,0,0,0
What was the first manufactured fiber?,0,1,0,0,0,0
When was the Treaty of Paris established?,0,1,0,0,0,0
What empire was formed in the late 18th century?,0,1,0,0,0,0
Who said the Reflections were 'the manifesto of a Counter Revolution'?,0,1,0,0,0,0
What is the term that the English use for the comics that come out of Belgian?,0,1,0,0,0,0
What old technology was unable to be used to connect to the Internet?,0,1,0,0,0,0
Along with the Prospect of Whitby what pub was Samuel Pepys associated with?,0,1,0,0,0,0
What was Namibia's Press Freedom Index position in 2008?,0,1,0,0,0,0
During what war were computers first used for military applications?,0,1,0,0,0,0
Who was Chopin's worthy successor according to Jones?,0,1,0,0,0,0
Who made the decision to base the American Unit on the weight on the Spanish dollar?,0,1,0,0,0,0
In which area are a large number of the country's agricultural products grown?,0,1,0,0,0,0
In kilometers how long was the Plymouth Sound Breakwater?,0,1,0,0,0,0
What trades did the Pitcairners establish while on Norfolk Island?,0,1,1,0,0,0
What is 1734 design is considered one of the finest example of Palladian architecture in England built in Norfolk?,0,1,0,0,0,0
At what conference did Richard Borshay speak?,0,1,0,0,0,0
What is primarily a recreational activity except in extremely underdeveloped areas?,0,1,0,0,0,0
When was the first satellite of the third generation launched?,0,1,0,0,0,0
Whose energy levels are lower than the non-electrons in the electroluminescence process?,0,1,0,0,0,0
How much did Viacom want in damages in their lawsuit against youtube?,0,1,0,0,0,0
What does Latin require?,0,1,0,0,0,0
What US state allows the death penalty in its constitution?,0,1,0,0,0,0
In which type of organism do the smallest genomes occur?,0,1,0,0,0,0
What groups first formed in 1715 when the Whigs were dominant?,0,1,0,0,0,0
What device can't be used to discharge large voltage capacitors?,0,1,0,0,0,0
Who are people of German ancestry living in western Europe?,0,1,0,0,0,0
What year did Wever die?,0,1,0,0,0,0
What are someplaces that you could study drama and therter in Cork?,0,0,1,0,0,0
Which company produced the Duo Famicom and the 19SC111 TV?,0,1,0,0,0,0
What time did Pilate hold court in the morning?,0,1,0,0,0,0
Where does the word papuros come from?,0,1,0,0,0,0
What are the only two Disney parks allowed to have Marvel characters?,0,1,0,0,0,0
What are two types of non-repetitive DNA?,0,1,0,0,0,0
What does the Indian word 'Intruz' mean?,0,1,0,0,0,0
What did the British expeditionary party do while on their stay at the island?,0,1,0,0,0,0
What material did Elisha Gray use to convey sound?,0,1,0,0,0,0
During what century was the change from Old to Middle Persian well underway?,0,1,0,1,0,0
Besides the information-processing perspective what is the other major approach to understanding cognitive change during adolescence?,0,1,0,0,0,1
Only about what percentage of the people raised in the religion continue to identify themselves as Jehovah's Witnesses?,0,1,0,0,0,0
The electric eel uses electric shock for defense and what other purpose?,0,1,0,1,0,0
What do the buses look like in Strasbourg?,0,1,0,0,0,0
What did Avicenna want to reconcile with Islamic theology?,0,1,0,1,0,1
What festival is featured at Asia House London?,0,1,0,0,0,0
Which belief system definitively believes in no Higher Power or Supreme Being?,0,0,0,0,0,1
What party formally takes the Labour whip in the House of Commons?,0,1,0,0,0,0
What paid for Nigeria's fourth satellite?,0,1,0,0,0,0
What area of the zoo does not host seabirds?,0,1,0,0,0,0
Where did Spielberg's paternal grandparents immigrate from?,0,1,0,0,0,0
How old was Athanasius when he was chosen as Patriarch?,0,1,0,0,0,0
Who did Gorbachev make First Secretary of the Azerbaijan Communist Party in 1988?,0,1,0,0,0,1
What type of glass did many Art Nouveau artists use?,0,1,0,0,0,0
What REM song uses simple mandolin licks?,0,1,0,0,0,0
Who was the Duchess' comptroller and cohort?,0,1,0,0,0,0
How much of the Thuringia population is non-religious?,0,1,0,0,0,0
When are Seafair events held in Seattle?,0,1,0,0,0,0
What idea from Karl Marx was used to combat the problems with structural integration?,0,1,0,1,0,0
What type of birds lay its eggs on bare rock?,0,1,0,0,0,0
Who sent men to the Dardanelles?,0,1,0,0,0,0
What contributes to the moisture that is present in the desert?,0,1,0,1,0,0
What island is the borough of Brooklyn located on?,0,1,0,0,0,0
Who called for the sanctions in Burma to be given reprieve?,0,1,0,0,0,0
What roles did Benjamin Netanyahu serve in prior to serving on the cabinet of Israel?,0,1,0,0,0,0
What word literally means 'born of a wolf'?,0,1,0,0,0,0
During the second half of what century did the Burke and Wills expedition give an indication of immigration flows?,0,1,0,0,0,0
What is charged at KU's unspecialized professional schools?,0,1,0,0,0,0
Where did treason interact with sensation according to Avicenna?,0,1,0,0,0,0
What is the 'New Right'?,0,1,0,0,0,0
When did season four premiere?,0,1,0,0,0,0
What ancient group used bitumen extraction?,0,1,0,0,0,0
In what year was Redeem founded?,0,1,0,0,0,0
Westminster Abbey was the third lowest place of learning after which two places?,0,0,1,0,0,0
What caused the resurface of the Grecian monotony in politics?,0,1,0,1,0,0
Who cast the Sanctus bell?,0,1,0,0,0,0
Three lines under the Southern Railway opened in what year?,0,1,0,0,0,0
How is the USB icon located to each receptacle?,0,1,0,0,0,0
Where can one find the encoding techniques for CDs?,0,1,0,0,0,0
Which genre of comic books had children concerned?,0,1,0,0,0,0
What kind of Imam do Shia Nizari Ismailis have?,0,1,0,0,0,0
In which U.S. state was the oldest definitive evidence of TB found?,0,1,0,0,0,0
Nutritionists recommend an intake of more than 30% of what in one's diet?,0,1,0,0,0,0
What percentage of scientists from 1450–1650 in the Dictionary of Scientific Biography were taught in a university?,0,1,0,0,0,0
What is early Islamic metaphysics imbued with?,0,1,0,0,0,0
How long were Jefferson and Hemmings in a relationship?,0,1,0,0,0,0
Who are the lowest ranking cardinals in the Catholic church?,0,1,0,0,0,0
What system are Little Island Mallow Midleton Fota and Cobh stations of?,0,1,0,0,0,0
What state did the Saturn V rocket launch from?,0,1,0,0,0,0
What is the the Information Management Group responsible for?,0,1,0,0,0,0
What is the Chamorro word for being selfish?,0,1,0,0,0,0
What was Ethiopia known as during the Middle Ages?,0,1,0,0,0,0
What is the largest University in Europe?,0,1,0,0,0,0
Who wrote that the music of the post-punk era was avant-garde?,0,1,0,0,0,0
Since when has Petrarch been used in poetry and literature?,0,1,0,0,0,0
What is the definition of neutral monism?,0,1,0,0,0,0
What were Octavian's agent d'affaires called?,0,1,0,0,0,0
What was the occasion where debutantes were exiled from society called?,0,1,0,0,0,0
What property do PCBs have that makes them tough to drill through?,0,1,0,0,0,0
Who was known for focusing on the environment in the 1960s?,0,1,0,0,0,0
The regions of Białystok Galicia and Przemyśl were returned to what country after world war II?,0,1,0,0,0,0
What can cause excess fructose in healthy individuals?,0,1,0,0,0,0
American Life reached which number at the Hot 100?,0,1,0,0,0,0
How big is each of the 5 zones that make up the Reserve Naturelle?,0,1,0,0,0,0
How long did it take to capture Osama Bin Laden?,0,1,0,0,0,0
The CRTC stated that the CBC refused to move their operating channels from what positions?,0,1,0,0,0,0
Where did Weissenbach and his colleagues work?,0,1,0,0,0,0
Each season the 38 clubs in the Premier League play a total of how many games?,0,1,0,0,0,0
What kind of circuit has the least amount of resistance?,0,1,0,0,0,0
How far away was the potential conflict Burke argued against?,0,1,0,0,0,0
What specific type of growth has an effect on the density of wood?,0,1,0,0,0,0
How many feet above sea level is Oklahoma's lowest point?,0,1,0,0,0,0
What does having a cartridge in the console prevent in North American consoles?,0,1,0,0,0,0
What effect did Whitehead have on the future of metaphysics?,0,1,0,1,0,0
Who gave Mstyslav this title?,0,1,0,0,0,0
How do DNA changes affect plants?,0,1,0,0,0,0
Who invented the slide ruler?,0,1,0,0,0,0
Which streets have their own linked articles?,0,1,0,0,0,0
When was Ezra Stiles vice president of Yale?,0,1,0,0,0,0
In what year did the State Management Scheme cease?,0,1,0,0,0,0
