Question,Confirmation,Factoid,List,Causal,Hypothetical,Complex
Why are newborns described as physiologically immunodeficiencies?,0,1,0,1,0,0
Why is zinc not able to ever corrode?,0,1,0,1,0,0
Why do humans hunt?,0,1,0,1,0,0
Do glaciers need permanent snow or only temporary cover?,1,0,0,0,1,0
Why can outdoor activities take place all year in Miami?,0,1,0,1,0,0
Has the Government of India taken any measures against child labour?,1,0,0,1,0,0
After emigration from the west did Jewish communities in places like Poland have a stable or unstable sociopolitical environment?,0,0,0,1,0,1
What are the consequences for global agriculture if genetically modified plants do not need water?,0,0,1,0,1,0
Why was the electoral college introduced?,0,1,0,1,0,0
Why are CDs limited to a single size?,0,1,0,1,0,0
Why were his children free?,0,1,0,1,0,0
Why are high index glasses appreciated?,0,1,0,1,0,0
Why does the MULTI OUT connector differ from region to region?,0,1,0,1,0,0
Why does water decrease lamp darkening?,0,1,0,1,0,0
Why does the current have that name?,0,1,0,1,0,0
Why are God's representations discouraged in Islam?,0,1,0,1,0,0
Why were some multiracial children sent to Europe?,0,0,0,1,0,1
Why do gymnasts dismount?,0,1,0,1,0,0
Did the FBI investigate Martin Luther King Jr?,1,0,0,1,0,0
In the metropolitan area of New Haven is a Fortune 1000 company located in Orange the name of the company?,0,1,0,0,0,1
Why was van Beurden under review?,0,1,0,1,0,0
Could a club appeal a requirement?,1,0,0,0,1,0
Why does current have that name?,0,1,0,1,0,0
Why is STOVL not used by other navies?,0,1,0,1,0,0
Detail changes to human governance if decision-making was facilitated by predictive algorithms,0,0,1,0,1,1
Why are annelids' segments like helium-balloons?,0,1,0,1,0,0
Why was the word 'national' a cause for alarm to both Federalists and Anti-Federalists?,0,1,0,1,0,0
Why was Victoria advised not to visit France in April 1900?,0,1,0,1,0,0
Why are glacial crevices formed?,0,1,0,1,0,0
Detail the global economic reforms needed if a universal basic income became a necessity due to automation,0,0,1,0,1,1
Why are smoking bans in place?,0,1,0,1,0,0
Why are seabirds in the southern hemisphere more likely to migrate?,0,1,0,1,0,0
The relative separation of the colours of the object illuminated by a light source is known as?,0,1,0,0,0,1
Why did many Slavic languages distance themselves from Russian influences?,0,1,0,1,0,0
Why is the Global Development Division focusing on pro-poor sanitation?,0,1,0,1,0,0
List the effects on education if students could learn through virtual reality simulations?,0,0,1,0,1,0
Why are buildings so shooddily built?,0,1,0,1,0,0
How would human culture evolve if we developed the technology to share and experience each other's emotions directly,0,0,0,0,1,1
"If society changes to a working week of 20 hours, what would be the effects on leisure productivity and family life?",0,0,0,0,1,1
In what year was the CCP divided into three denominations because of controversy?,0,1,0,0,0,1
Did Josef Jungmann think German would return as a major language?,0,0,0,1,0,1
Why did blacks fear to identify as African?,0,1,0,1,0,0
Why was Swan's first lamp commercially viable?,0,1,0,1,0,0
Why does Sowell believe that there is little to no incentive for the preferred minority groups to perform at their best?,0,0,0,1,0,1
Can people in New Zealand vote for the Electoral Commission Party?,1,0,0,0,1,0
Why is non-alloy zinc not used in construction applications?,0,1,0,1,0,0
Peter J. Wallison's conclusions regarding the financial crisis are not in agreement with this economist's views?,0,0,0,1,0,1
Why can Uthman be considered the founder of a dynasty?,0,1,0,1,0,0
Why are leeches in danger?,0,1,0,1,0,0
Why are anneloids like helium balloons?,0,1,0,1,0,0
Why was a platform used?,0,1,0,1,0,0
Why did Victoria repremend Derby following her visit with Napolean III?,0,1,0,1,0,0
