Question,Confirmation,Factoid,List,Causal,Hypothetical,Complex
Who discovered non-radio uses for early LED devices?,0,1,0,0,0,0
Who commanded the Prussian 12 Cavalry Brigade?,0,1,0,0,0,0
What percentage of students at Qur'anic schools are female?,0,1,0,0,0,0
How do translators obfuscate context?,0,1,0,0,0,0
What type of degree was given out at the University of Bolonga?,0,1,0,0,0,0
What is the given name of a offspring from two different animals?,0,1,0,0,0,0
Which of Popper's works criticized the idea that history has an inexorable developmental path?,0,1,0,1,0,0
Who has held the office of Vice President of Tajikistan since 1994?,0,1,0,0,0,0
By what means did Davis leave Richmond?,0,1,0,0,0,0
What is SmartZone's email called?,0,1,0,0,0,0
What is not required?,0,1,0,0,0,0
When did Kant publish one of the most influential works in the history of the philosophy of space and time?,0,1,0,0,0,0
NICE decides the availability of drugs in which two countries?,0,1,0,0,0,0
What do Type-A receptacles do on host devices?,0,1,0,0,0,0
When did EMI create the first stereo discs?,0,1,0,1,0,0
Besides Chelsea City Island and Venice Park what other community locality or place name is included in the city?,0,0,1,0,0,0
Where did Irenaeus and Eusebius of Caesarea live?,0,1,0,0,0,0
What was the first manufactured fiber?,0,1,0,0,0,0
When was the Treaty of Paris established?,0,1,0,0,0,0
Along with the Prospect of Whitby what pub was Samuel Pepys associated with?,0,1,0,0,0,0
Who made the decision to base the American Unit on the weight on the Spanish dollar?,0,1,0,0,0,0
In kilometers how long was the Plymouth Sound Breakwater?,0,1,0,0,0,0
What does Latin require?,0,1,0,0,0,0
What are someplaces that you could study drama and therter in Cork?,0,0,1,0,0,0
Where does the word papuros come from?,0,1,0,0,0,0
What material did Elisha Gray use to convey sound?,0,1,0,0,0,0
During what century was the change from Old to Middle Persian well underway?,0,1,0,1,0,0
What do the buses look like in Strasbourg?,0,1,0,0,0,0
Which belief system definitively believes in no Higher Power or Supreme Being?,0,0,0,0,0,1
What area of the zoo does not host seabirds?,0,1,0,0,0,0
Who did Gorbachev make First Secretary of the Azerbaijan Communist Party in 1988?,0,1,0,0,0,1
What REM song uses simple mandolin licks?,0,1,0,0,0,0
When are Seafair events held in Seattle?,0,1,0,0,0,0
What type of birds lay its eggs on bare rock?,0,1,0,0,0,0
What contributes to the moisture that is present in the desert?,0,1,0,1,0,0
Who called for the sanctions in Burma to be given reprieve?,0,1,0,0,0,0
During the second half of what century did the Burke and Wills expedition give an indication of immigration flows?,0,1,0,0,0,0
What is charged at KU's unspecialized professional schools?,0,1,0,0,0,0
Westminster Abbey was the third lowest place of learning after which two places?,0,0,1,0,0,0
Who cast the Sanctus bell?,0,1,0,0,0,0
Nutritionists recommend an intake of more than 30% of what in one's diet?,0,1,0,0,0,0
What is early Islamic metaphysics imbued with?,0,1,0,0,0,0
How long were Jefferson and Hemmings in a relationship?,0,1,0,0,0,0
Who are the lowest ranking cardinals in the Catholic church?,0,1,0,0,0,0
What was Ethiopia known as during the Middle Ages?,0,1,0,0,0,0
What is the largest University in Europe?,0,1,0,0,0,0
Who wrote that the music of the post-punk era was avant-garde?,0,1,0,0,0,0
What was the occasion where debutantes were exiled from society called?,0,1,0,0,0,0
